disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
718,NE,Tornado,Severe Storms & Tornadoes,1984-04-25,1984-04-25,Howard (County),4,1,1984,Midwest,Spring,1,2,3
719,CO,Flood,"Severe Storms, Mudslides, Landslides & Flooding",1984-07-27,1984-07-27,Pitkin (County),7,1,1984,West,Summer,2,1,4
720,UT,Flood,"Severe Storms, Mudslides, Landslides & Flooding",1984-08-17,1984-08-17,Utah (County),8,1,1984,West,Summer,2,1,4
721,PA,Flood,Severe Storms & Flooding,1984-08-27,1984-08-27,Bedford (County),8,1,1984,Northeast,Summer,2,2,1
722,NM,Flood,Severe Storms & Flooding,1984-08-08,1984-08-26,Lincoln (County),8,18,1984,Southwest,Summer,2,1,5
723,NV,Flood,Heavy Rains & Flooding,1984-09-06,1984-09-06,Clark (County),9,1,1984,West,Autumn,3,1,4
724,NC,Hurricane,Hurricane Diana,1984-09-11,1984-09-11,New Hanover (County),9,1,1984,Southeast,Autumn,3,2,2
725,NY,Flood,Severe Storms & Flooding,1984-09-25,1984-09-25,Steuben (County),9,1,1984,Northeast,Autumn,3,2,1
726,TX,Flood,Severe Storms & Flooding,1984-09-16,1984-09-18,Cameron (County),9,2,1984,Southwest,Autumn,3,2,5
727,TX,Flood,Severe Storms & Flooding,1984-10-30,1984-10-30,Nueces (County),10,1,1984,Southwest,Autumn,3,1,5
728,LA,Flood,Severe Storms & Flooding,1984-10-31,1984-10-31,St. Martin (Parish),10,1,1984,Southeast,Autumn,3,1,2
730,AZ,Severe Storm(s),Heavy Rain & High Winds,1985-01-15,1985-01-15,Yuma (County),1,1,1985,Southwest,Winter,4,2,5
731,NM,Flood,Severe Storms & Flooding,1985-01-18,1985-01-18,Torrance (County),1,1,1985,Southwest,Winter,4,1,5
732,FL,Freezing,Severe Freeze,1985-03-18,1985-03-18,Hardee (County),3,1,1985,Southeast,Spring,1,1,2
733,NY,Flood,Flooding,1985-03-20,1985-03-20,Oswego (County),3,1,1985,Northeast,Spring,1,1,1
734,NY,Snow,Snow Melt & Ice Jams,1985-03-22,1985-03-22,Erie (County),3,1,1985,Northeast,Spring,1,1,1
735,IL,Flood,Severe Storms & Flooding,1985-02-23,1985-04-05,Monroe (County),2,41,1985,Midwest,Winter,4,1,3
738,OH,Tornado,Severe Storms & Tornadoes,1985-05-31,1985-05-31,Trumbull (County),5,1,1985,Midwest,Spring,1,2,3
737,PA,Tornado,"Severe Storms, High Winds & Tornadoes",1985-05-31,1985-06-01,Clearfield (County),5,1,1985,Northeast,Spring,1,1,1
739,CA,Fire,"Grass, Wildlands, & Forest Fires",1985-06-26,1985-07-19,Santa Cruz (County),6,23,1985,West,Summer,2,2,4
740,WY,Flood,"Severe Storms, Hail & Flooding",1985-08-07,1985-08-07,Laramie (County),8,1,1985,West,Summer,2,2,4
741,MS,Hurricane,Hurricane Elena,1985-08-29,1985-09-04,Pearl River (County),8,6,1985,Southeast,Summer,2,2,2
742,AL,Hurricane,Hurricane Elena,1985-08-29,1985-09-02,Mobile (County),8,4,1985,Southeast,Summer,2,2,2
743,FL,Hurricane,Hurricane Elena,1985-08-29,1985-09-02,Wakulla (County),8,4,1985,Southeast,Summer,2,2,2
